"timestamp","pageUrl","domain","resourceType","isThirdParty","hasAdKeywords","isKnownAdDomain","sizeKB","durationMs","status"
"2025-04-21T17:17:06.940Z","https://edition.cnn.com/","edition.cnn.com","font",false,false,false,46.12,436,200
"2025-04-21T17:17:06.941Z","https://edition.cnn.com/","edition.cnn.com","font",false,false,false,45.32,437,200
"2025-04-21T17:17:07.022Z","https://edition.cnn.com/","lightning.cnn.com","script",true,false,false,0,438,200
"2025-04-21T17:17:07.068Z","https://edition.cnn.com/","media.cnn.com","media",true,false,false,1150.31,160,206
"2025-04-21T17:17:07.270Z","https://edition.cnn.com/","edition.cnn.com","image",false,false,false,0.19,205,200
"2025-04-21T17:17:07.272Z","https://edition.cnn.com/","edition.cnn.com","image",false,false,false,0.27,206,200
"2025-04-21T17:17:07.500Z","https://edition.cnn.com/","edition.cnn.com","image",false,false,false,0.13,248,200
"2025-04-21T17:17:07.580Z","https://edition.cnn.com/","get.s-onetag.com","script",true,false,false,0,1459,200
"2025-04-21T17:17:07.583Z","https://edition.cnn.com/","edition.cnn.com","fetch",false,false,false,0.02,327,200
"2025-04-21T17:17:07.786Z","https://edition.cnn.com/","registry.api.cnn.io","script",true,false,false,76.93,1602,200
"2025-04-21T17:17:07.806Z","https://edition.cnn.com/","media.cnn.com","media",true,false,false,1774.46,781,206
"2025-04-21T17:17:07.808Z","https://edition.cnn.com/","lightning.cnn.com","script",true,false,false,13.9,773,200
"2025-04-21T17:17:07.809Z","https://edition.cnn.com/","edition.cnn.com","script",false,false,false,7.15,241,200
"2025-04-21T17:17:07.810Z","https://edition.cnn.com/","signal-beacon.s-onetag.com","script",true,false,false,0,214,200
"2025-04-21T17:17:07.838Z","https://edition.cnn.com/","cdn.jsdelivr.net","fetch",true,false,false,1.23,337,200
"2025-04-21T17:17:07.841Z","https://edition.cnn.com/","sb.scorecardresearch.com","script",true,false,true,0,826,302
"2025-04-21T17:17:07.854Z","https://edition.cnn.com/","media.cnn.com","media",true,false,false,5000.02,831,206
"2025-04-21T17:17:07.875Z","https://edition.cnn.com/","onetag-geo.s-onetag.com","fetch",true,false,false,0.54,14,200
"2025-04-21T17:17:07.930Z","https://edition.cnn.com/","onetag-geo.s-onetag.com","fetch",true,false,false,0.54,58,200
"2025-04-21T17:17:07.948Z","https://edition.cnn.com/","registry.api.cnn.io","stylesheet",true,false,false,32.48,124,200
"2025-04-21T17:17:07.949Z","https://edition.cnn.com/","edition.cnn.com","xhr",false,false,false,1.82,100,200
"2025-04-21T17:17:07.949Z","https://edition.cnn.com/","tag.wknd.ai","script",true,false,false,2.85,660,200
"2025-04-21T17:17:07.950Z","https://edition.cnn.com/","registry.api.cnn.io","script",true,false,false,6.42,147,200
"2025-04-21T17:17:07.953Z","https://edition.cnn.com/","s.cdn.turner.com","script",true,false,false,17.31,661,200
"2025-04-21T17:17:07.955Z","https://edition.cnn.com/","secure.quantserve.com","script",true,false,false,0,924,200
"2025-04-21T17:17:07.985Z","https://edition.cnn.com/","sb.scorecardresearch.com","script",true,false,true,0,140,200
"2025-04-21T17:17:08.054Z","https://edition.cnn.com/","z.cdp-dev.cnn.com","script",true,false,false,267.85,1912,200
"2025-04-21T17:17:08.076Z","https://edition.cnn.com/","accounts.google.com","script",true,false,false,0,790,200
"2025-04-21T17:17:08.168Z","https://edition.cnn.com/","content.api.cnn.com","fetch",true,false,false,243.76,846,200
"2025-04-21T17:17:08.284Z","https://edition.cnn.com/","edition.cnn.com","script",false,true,false,99.97,271,200
"2025-04-21T17:17:08.285Z","https://edition.cnn.com/","rules.quantcount.com","script",true,false,false,0,229,200
"2025-04-21T17:17:08.325Z","https://edition.cnn.com/","registry.api.cnn.io","script",true,false,false,347.76,401,200
"2025-04-21T17:17:08.357Z","https://edition.cnn.com/","z.cdp-dev.cnn.com","script",true,false,false,4.59,132,200
"2025-04-21T17:17:08.362Z","https://edition.cnn.com/","fonts.googleapis.com","stylesheet",true,false,false,0,342,200
"2025-04-21T17:17:08.363Z","https://edition.cnn.com/","assets.bounceexchange.com","script",true,false,false,0.5,340,200
"2025-04-21T17:17:08.421Z","https://edition.cnn.com/","edition.cnn.com","fetch",false,false,false,59.68,190,200
"2025-04-21T17:17:08.435Z","https://edition.cnn.com/","cdn.cookielaw.org","fetch",true,false,false,80.2,200,200
"2025-04-21T17:17:08.465Z","https://edition.cnn.com/","static.chartbeat.com","script",true,false,false,0,2339,200
"2025-04-21T17:17:08.558Z","https://edition.cnn.com/","edition.cnn.com","script",false,false,false,17.03,271,200
"2025-04-21T17:17:08.571Z","https://edition.cnn.com/","registry.api.cnn.io","script",true,false,false,53.66,325,200
"2025-04-21T17:17:08.595Z","https://edition.cnn.com/","edition.cnn.com","fetch",false,false,false,3.06,38,200
"2025-04-21T17:17:08.714Z","https://edition.cnn.com/","edition.cnn.com","fetch",false,false,false,12.63,44,200
"2025-04-21T17:17:08.715Z","https://edition.cnn.com/","edition.cnn.com","fetch",false,false,false,3.87,44,200
"2025-04-21T17:17:08.730Z","https://edition.cnn.com/","collector.cdp.cnn.com","xhr",true,false,false,0,1,200
"2025-04-21T17:17:08.754Z","https://edition.cnn.com/","assets.bounceexchange.com","script",true,false,false,116.2,148,200
"2025-04-21T17:17:08.757Z","https://edition.cnn.com/","edition.cnn.com","image",false,false,false,3.63,51,200
"2025-04-21T17:17:08.759Z","https://edition.cnn.com/","edition.cnn.com","image",false,false,false,1.94,52,200
"2025-04-21T17:17:08.760Z","https://edition.cnn.com/","assets.bounceexchange.com","script",true,false,false,16.55,155,200
"2025-04-21T17:17:08.761Z","https://edition.cnn.com/","zion.api.cnn.io","xhr",true,false,false,0.13,464,200
"2025-04-21T17:17:08.763Z","https://edition.cnn.com/","edition.cnn.com","fetch",false,false,false,0.3,77,200
"2025-04-21T17:17:08.830Z","https://edition.cnn.com/","collector.cdp.cnn.com","xhr",true,false,false,0,100,200
"2025-04-21T17:17:09.963Z","https://edition.cnn.com/","registry.api.cnn.io","script",true,true,false,1131.54,595,200
"2025-04-21T17:17:09.984Z","https://edition.cnn.com/","turnip.cdn.turner.com","stylesheet",true,false,false,8.44,144,200
"2025-04-21T17:17:09.986Z","https://edition.cnn.com/","mab.chartbeat.com","xhr",false,true,false,0.14,1393,200
"2025-04-21T17:17:09.987Z","https://edition.cnn.com/","assets.bounceexchange.com","fetch",true,false,false,19.34,1165,200
"2025-04-21T17:17:09.998Z","https://edition.cnn.com/","assets.bounceexchange.com","script",true,true,false,5.43,1168,200
"2025-04-21T17:17:10.000Z","https://edition.cnn.com/","assets.bounceexchange.com","script",true,true,false,38.57,1169,200
"2025-04-21T17:17:10.135Z","https://edition.cnn.com/","turnip.cdn.turner.com","script",true,false,false,75.1,221,200
"2025-04-21T17:17:10.164Z","https://edition.cnn.com/","assets.bounceexchange.com","script",true,false,false,30.29,123,200
"2025-04-21T17:17:10.302Z","https://edition.cnn.com/","registry.api.cnn.io","script",true,true,false,129.38,136,200
"2025-04-21T17:17:10.360Z","https://edition.cnn.com/","media.cnn.com","image",true,false,false,138.64,45,200
"2025-04-21T17:17:10.435Z","https://edition.cnn.com/","media.cnn.com","image",true,false,false,360.18,76,200
"2025-04-21T17:17:10.460Z","https://edition.cnn.com/","medium.ngtv.io","fetch",true,false,false,0.37,255,200
