"pageUrl","domain","resourceType","isThirdParty","hasAdKeywords","isKnownAdDomain","sizeKB","durationMs","status"
,"medium.ngtv.io","fetch",true,false,,0.37,318,200
,"media.cnn.com","image",true,false,,362.9,61,200
,"accounts.google.com","stylesheet",true,false,,0,154,200
,"accounts.google.com","xhr",true,false,,0,193,400
,"edition.cnn.com","other",false,false,,5.09,61,200
,"live-media-aka.warnermediacdn.com","xhr",true,false,,0.58,160,200
,"licensing.bitmovin.com","xhr",true,false,,0.04,216,200
,"live-media-aka.warnermediacdn.com","xhr",true,false,,1.52,91,200
,"live-media-aka.warnermediacdn.com","xhr",true,false,,1.53,200,200
,"live-media-aka.warnermediacdn.com","xhr",true,false,,1.52,96,200
,"live-media-aka.warnermediacdn.com","xhr",true,false,,0.67,58,200
,"live-media-aka.warnermediacdn.com","xhr",true,false,,791.44,411,200
,"live-media-aka.warnermediacdn.com","xhr",true,false,,0.6,49,200
,"live-media-aka.warnermediacdn.com","xhr",true,false,,46.15,64,200
,"live-media-aka.warnermediacdn.com","xhr",true,false,,1.52,142,200
,"live-media-aka.warnermediacdn.com","xhr",true,false,,0.67,69,200
,"licensing.bitmovin.com","xhr",true,false,,0,69,204
,"live-media-aka.warnermediacdn.com","xhr",true,false,,398.23,482,200
,"live-media-aka.warnermediacdn.com","xhr",true,false,,46.32,46,200
,"sb.scorecardresearch.com","image",false,false,,0.04,63,200
,"live-media-aka.warnermediacdn.com","xhr",true,false,,361.53,419,200
,"live-media-aka.warnermediacdn.com","xhr",true,false,,46.16,71,200
,"live-media-aka.warnermediacdn.com","xhr",true,false,,389.15,254,200
,"live-media-aka.warnermediacdn.com","xhr",true,false,,46.32,63,200
,"live-media-aka.warnermediacdn.com","xhr",true,false,,380.42,214,200
,"live-media-aka.warnermediacdn.com","xhr",true,false,,46.14,112,200
,"sb.scorecardresearch.com","image",false,false,,0.04,61,200
,"live-media-aka.warnermediacdn.com","xhr",true,false,,389.16,464,200
,"live-media-aka.warnermediacdn.com","xhr",true,false,,46.33,106,200
,"collector.cdp.cnn.com","xhr",true,false,,0,84,200
,"live-media-aka.warnermediacdn.com","xhr",true,false,,380.62,233,200
,"live-media-aka.warnermediacdn.com","xhr",true,false,,46.14,57,200
,"collector.cdp.cnn.com","xhr",true,false,,0,112,200
,"collector.cdp.cnn.com","xhr",true,false,,0,96,200
,"collector.cdp.cnn.com","xhr",true,false,,0,98,200
,"live-media-aka.warnermediacdn.com","xhr",true,false,,1.52,44,200
,"events.bouncex.net","image",true,false,,0.04,181,200
,"logs.browser-intake-datadoghq.com","fetch",true,false,,0.05,691,202
,"collector.cdp.cnn.com","xhr",true,false,,0,83,200
,"live-media-aka.warnermediacdn.com","xhr",true,false,,1.52,115,200
,"collector.cdp.cnn.com","xhr",true,false,,0,82,200
,"live-media-aka.warnermediacdn.com","xhr",true,false,,376.15,348,200
,"live-media-aka.warnermediacdn.com","xhr",true,false,,46.34,68,200
,"collector.cdp.cnn.com","xhr",true,false,,0,132,200
,"sb.scorecardresearch.com","image",false,false,,0.04,93,200
,"nytimes.com","document",true,false,,0,180,301
,"privacyportal-eu.onetrust.com","ping",true,false,,0,272,201
,"connect-metrics-collector.s-onetag.com","ping",true,false,,0,491,200
,"signal-metrics-collector-beta.s-onetag.com","ping",true,false,,0,445,200
,"collector.cdp.cnn.com","xhr",true,false,,0,41,200
,"logs.browser-intake-datadoghq.com","ping",true,false,,0.05,192,202
,"www.nytimes.com","image",false,false,,0.96,124,200
,"www.nytimes.com","image",false,false,,1.93,134,200
,"www.nytimes.com","stylesheet",false,false,,2,129,200
,"www.nytimes.com","stylesheet",false,false,,1.77,121,200
,"www.nytimes.com","document",false,false,,186.82,548,200
,"www.nytimes.com","image",false,false,,1.31,183,200
,"g1.nyt.com","stylesheet",true,false,,6.21,214,200
,"","image",true,false,,0,3,200
,"www.nytimes.com","image",false,false,,2.48,489,200
,"static01.nyt.com","image",true,false,,1.6,493,200
,"static01.nyt.com","image",true,false,,21.78,460,200
,"static01.nyt.com","image",true,false,,29.92,496,200
,"static01.nyt.com","image",true,false,,2.71,495,200
,"static01.nyt.com","image",true,false,,3.74,497,200
,"www.nytimes.com","image",false,false,,1.48,504,200
,"www.nytimes.com","image",false,false,,3.61,507,200
,"www.nytimes.com","image",false,false,,10.68,473,200
,"www.nytimes.com","image",false,false,,0.54,495,200
,"www.nytimes.com","image",false,false,,2.98,505,200
,"www.nytimes.com","image",false,false,,6.48,501,200
,"www.nytimes.com","image",false,false,,1.28,515,200
,"www.nytimes.com","image",false,false,,1.03,485,200
,"www.nytimes.com","image",false,false,,2.32,486,200
,"www.nytimes.com","image",false,false,,2.66,490,200
,"static01.nyt.com","image",true,false,,3.99,519,200
,"static01.nyt.com","image",true,false,,36.88,519,200
,"www.nytimes.com","image",false,false,,3.24,506,200
,"www.nytimes.com","image",false,false,,3.76,507,200
,"www.nytimes.com","image",false,false,,1.07,530,200
,"www.nytimes.com","image",false,false,,1.27,512,200
,"www.nytimes.com","image",false,false,,0.65,515,200
,"www.nytimes.com","image",false,false,,0.66,518,200
,"www.nytimes.com","image",false,false,,9.06,528,200
,"www.nytimes.com","image",false,false,,2.05,533,200
,"www.nytimes.com","image",false,false,,0.7,537,200
,"static01.nyt.com","image",true,false,,12.65,530,200
,"static01.nyt.com","image",true,false,,9.68,534,200
,"static01.nyt.com","image",true,false,,11.54,537,200
,"www.nytimes.com","script",false,false,,8.48,562,200
,"samizdat-graphql.nytimes.com","xhr",true,false,,0.16,338,200
,"www.nytimes.com","script",false,false,,1.06,485,200
,"g1.nyt.com","font",true,false,,22.85,131,200
,"g1.nyt.com","font",true,false,,19.72,174,200
,"g1.nyt.com","font",true,false,,28.39,279,200
,"g1.nyt.com","font",true,false,,26.62,285,200
,"g1.nyt.com","font",true,false,,23.15,286,200
,"g1.nyt.com","font",true,false,,28.19,286,200
,"g1.nyt.com","font",true,false,,23.46,287,200
,"g1.nyt.com","font",true,false,,19.35,296,200
,"g1.nyt.com","font",true,false,,27.61,298,200
,"g1.nyt.com","font",true,false,,25.88,299,200
,"static01.nyt.com","document",true,false,,0.54,243,200
,"g1.nyt.com","font",true,false,,19.8,336,200
,"static01.nyt.com","script",true,false,,84.46,465,200
,"www.datadoghq-browser-agent.com","script",true,false,,0,804,200
,"www.nytimes.com","script",false,false,,3.79,716,200
,"www.nytimes.com","script",false,false,,0.85,717,200
,"www.nytimes.com","script",false,false,,127.3,722,200
,"www.nytimes.com","script",false,false,,266.58,733,200
,"pagead2.googlesyndication.com","script",true,false,,33.19,661,200
,"www.nytimes.com","script",false,false,,732.06,825,200
,"a.et.nytimes.com","ping",true,false,,0,1037,200
,"www.googletagmanager.com","script",true,false,,149.05,1240,200
,"als-svc.nytimes.com","xhr",false,false,,0,1141,200
,"purr.nytimes.com","fetch",true,false,,0,676,200
,"www.nytimes.com","script",false,false,,6.66,279,200
,"www.nytimes.com","script",false,false,,7.64,282,200
,"www.nytimes.com","script",false,false,,15.35,286,200
,"www.nytimes.com","script",false,false,,5.69,287,200
,"www.nytimes.com","script",false,false,,6.67,374,200
,"www.nytimes.com","fetch",false,false,,467.34,201,200
,"www.nytimes.com","script",false,false,,92.83,561,200
,"pagead2.googlesyndication.com","other",true,false,,23.28,259,200
,"dd.nytimes.com","script",true,false,,0,385,200
,"a.et.nytimes.com","ping",true,false,,0,486,200
,"pagead2.googlesyndication.com","script",true,false,,166.27,590,200
,"www.nytimes.com","fetch",false,false,,0.26,289,200
